,created_at,tweet,clean_tweets,tweet_len,sentiment
0,2019-10-14 12:54:09,"RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN a 2019 #NYCC exclusive Pink Chrome Batman Pop!  
#Funko #Exclusive #Givea…",originalfunko amp follow originalfunko chance win nycc exclusive pink chrome batman pop funko exclusive givea,109,1
1,2019-10-14 12:54:09,"Support the fight for free expression with @JimLee when you donate to @CBLDF! Get signed copies of of X-MEN XXL, BA… https://t.co/SqfatjDyHA",suppo fight free expression jimlee donate cbldf get signed pie x men xxl ba sqfatjdyha,86,1
2,2019-10-14 12:54:06,RT @MARKPOINT0904: 191013 KEEP SPINNING TOUR IN BERLIN #GOT7 #MARK #段宜恩 #갓세븐 #마크 #GOT7WORLDTOUR #GOT7_KEEPSPINNING #GOT7inBerlin my BATMAN…,markpoint keep spinning tour berlin got mark got worldtour got keepspinning got inberlin batman,95,0
3,2019-10-14 12:54:09,"When you bring me out, can you introduce me as Joker? @jokermovie #jokermovie https://t.co/nHxNHT8O6M",bring introduce joker jokermovie jokermovie nhxnht,50,0
4,2019-10-14 12:54:11,RT @MARKPOINT0904: 191013 KEEP SPINNING TOUR IN BERLIN #GOT7 #MARK #段宜恩 #갓세븐 #마크 #GOT7WORLDTOUR #GOT7_KEEPSPINNING #GOT7inBerlin my BATMAN…,markpoint keep spinning tour berlin got mark got worldtour got keepspinning got inberlin batman,95,0
5,2019-10-14 12:54:11,"RT @kentsularte: ""there's a little joker in all of us or else how could we make it in this world of broken dreams"" https://t.co/5NhDAcB80E",kentsula e little joker u else uld make world broken dream nhdacb e,67,-1
6,2019-10-14 12:54:12,RT @AscendedPeter: joker and i watching roadhouse after a long day of work (ASMR) https://t.co/DP87DymMA9,ascendedpeter joker watching roadhouse long day work asmr dp dymma,66,-1
7,2019-10-14 12:54:12,RT @charlie_swords: The Joker was unreal but just couldn't get over how much he looked like Phil Dunphy from Modern Family https://t.co/bku…,charlie sword joker unreal uldn get much looked like phil dunphy modern family bku,82,1
8,2019-10-14 12:54:12,RT @thejcolelines: 'What do you get when you cross a mentally ill loner with a society that abandons him and treats him like a trash? I’ll…,thej lelines get cross mentally ill loner society abandon treat like trash,74,-1
9,2019-10-14 12:54:12,RT @MARKPOINT0904: 191013 KEEP SPINNING TOUR IN BERLIN #GOT7 #MARK #段宜恩 #갓세븐 #마크 #GOT7WORLDTOUR #GOT7_KEEPSPINNING #GOT7inBerlin my BATMAN…,markpoint keep spinning tour berlin got mark got worldtour got keepspinning got inberlin batman,95,0
